A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,Class
-1.449964,-0.760124,-0.822335,0.552716,0.183551,-0.358527,-0.070467,-1.508248,1.300011,-0.089946,1.086873,0.239085,0.093254,-0.121429,1
-1.449964,-0.561085,1.553144,0.552716,1.646025,1.711628,0.402666,1.374553,1.300011,0.809515,-0.918321,0.239085,1.259992,-0.108963,2
-1.449964,-0.61832,-0.463347,-1.816067,-1.278923,0.159012,0.718089,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.093254,-0.109352,1
0.687804,-0.411593,-0.745409,0.552716,1.93852,1.711628,-0.307034,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,0.833822,2
-1.449964,0.136833,-0.514631,-1.816067,1.646025,-0.358527,0.402666,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.093254,-0.170711,1
0.687804,2.642333,1.639302,-1.816067,0.183551,1.711628,0.8758,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.42011,-0.198177,1
0.687804,-0.148485,-0.719767,-1.816067,-0.986428,-0.358527,-0.622456,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.233263,-0.198177,1
0.687804,0.179545,-0.532067,0.552716,0.183551,-0.358527,-0.228178,-1.508248,-0.970894,-0.539677,-0.918321,3.605799,-0.373441,-0.198177,1
0.687804,-0.888261,-0.976188,0.552716,0.183551,-0.358527,-0.543601,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,-1.073483,-0.198177,1
0.687804,0.769828,0.049494,0.552716,0.183551,-0.358527,0.8758,1.374553,1.300011,1.034381,-0.918321,0.239085,-1.073483,0.398855,2
0.687804,-1.101822,0.049494,0.552716,1.061036,-0.358527,-0.583029,1.374553,1.300011,-0.089946,-0.918321,0.239085,-1.073483,-0.190775,1
0.687804,0.641691,0.254631,0.552716,-0.108944,-0.358527,-0.294417,1.374553,1.300011,0.58465,1.086873,0.239085,-0.443445,0.015508,2
0.687804,1.083336,1.280313,-1.816067,-1.571418,-0.358527,-0.228178,1.374553,-0.970894,-0.539677,-0.918321,-3.127628,-1.073483,-0.198177,1
-1.449964,-0.774647,1.280313,-1.816067,1.061036,-0.358527,0.244955,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.489945,-0.198177,1
-1.449964,-0.781481,0.18591,0.552716,1.061036,-0.358527,0.114055,1.374553,1.300011,1.034381,-0.918321,0.239085,-0.320937,0.436255,2
0.687804,0.64938,-0.463347,-1.816067,-1.278923,1.711628,2.452912,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,0.093254,-0.198177,1
-1.449964,0.598979,0.049494,0.552716,1.646025,-0.358527,3.55689,1.374553,-0.970894,-0.539677,1.086873,0.239085,4.643532,-0.198177,1
0.687804,-0.354358,1.588017,0.552716,-0.401439,0.159012,-0.622456,-1.508248,-0.970894,-0.539677,1.086873,0.239085,3.126773,-0.198177,1
0.687804,-0.119441,0.357199,0.552716,1.646025,-0.358527,0.284383,1.374553,1.300011,1.259246,-0.918321,0.239085,0.851634,0.035572,2
-1.449964,0.912487,-0.617199,-1.816067,0.183551,-0.358527,-0.701312,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.19843,-0.197982,1
0.687804,-0.696056,-0.771051,0.552716,0.183551,-0.358527,-0.543601,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,0.55995,-0.198177,1
-1.449964,-0.796003,-0.719767,-1.816067,-1.863913,-1.911143,0.323811,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.55995,-0.198177,1
-1.449964,0.143667,-0.463347,-1.816067,0.183551,-0.358527,0.087244,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-1.073483,-0.197787,1
-1.449964,-0.532895,-0.548478,0.552716,0.183551,1.711628,0.1661,1.374553,-0.970894,-0.539677,1.086873,0.239085,1.026645,-0.197982,1
0.687804,-0.596964,1.793154,-1.816067,-1.863913,-1.911143,-0.701312,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.000085,-0.198177,1
-1.449964,-0.112607,0.152063,0.552716,-0.986428,-0.358527,1.033511,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,-0.490114,-0.198177,1
0.687804,-0.554251,-0.625404,0.552716,1.93852,-0.358527,-0.176134,1.374553,1.300011,-0.314812,1.086873,0.239085,1.230824,-0.194281,2
0.687804,0.008696,-0.805924,0.552716,1.93852,-0.358527,-0.280223,1.374553,1.300011,1.259246,1.086873,0.239085,0.694125,0.442683,2
-1.449964,-0.696056,-0.81413,-1.816067,1.061036,-0.358527,-0.228178,1.374553,1.300011,-0.089946,1.086873,0.239085,-0.606788,-0.120261,2
-1.449964,-0.952329,0.562335,0.552716,-0.986428,-0.358527,-0.228178,1.374553,1.300011,-0.314812,-0.918321,0.239085,-0.140093,-0.152596,2
-1.449964,-0.596964,-0.838746,0.552716,-0.401439,1.711628,-0.149323,1.374553,-0.970894,-0.539677,-0.918321,0.239085,1.259992,-0.198177,1
0.687804,0.171857,-0.412063,0.552716,-0.108944,-0.358527,0.639233,1.374553,1.300011,0.809515,-0.918321,0.239085,0.116589,-0.198177,2
-1.449964,-1.344428,0.587977,0.552716,1.061036,-0.358527,-0.661884,-1.508248,1.300011,-0.314812,1.086873,0.239085,-1.073483,-0.16701,1
0.687804,-0.119441,-0.753615,-1.816067,0.183551,-0.358527,-0.688695,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.081756,-0.163309,1
0.687804,0.684404,0.049494,0.552716,-1.863913,-1.911143,-0.701312,-1.508248,1.300011,-0.089946,-0.918321,0.239085,-0.974311,-0.197982,1
-1.449964,1.816278,2.100859,0.552716,0.183551,-0.358527,1.033511,1.374553,1.300011,2.608438,-0.918321,0.239085,-1.073483,0.230362,2
0.687804,0.314516,-0.326931,0.552716,1.93852,1.711628,0.481522,1.374553,-0.970894,-0.539677,1.086873,0.239085,2.893425,-0.198177,1
0.687804,-0.760124,-0.822335,0.552716,-1.278923,-0.358527,-0.201367,-1.508248,1.300011,-0.314812,1.086873,0.239085,1.259992,-0.196424,1
0.687804,-0.7251,-0.463347,0.552716,-1.863913,-1.911143,-0.674501,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.490114,0.621501,1
0.687804,3.859632,3.596303,0.552716,0.768541,2.229167,3.320324,1.374553,1.300011,-0.314812,1.086873,0.239085,-1.073483,-0.176945,2
0.687804,0.670736,-0.625404,-1.816067,-0.108944,-0.358527,-0.649267,-1.508248,-0.970894,-0.539677,-0.918321,-3.127628,1.259992,-0.198177,1
0.687804,0.072764,-0.532067,-1.816067,-0.986428,-1.911143,-0.701312,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.373441,-0.198177,1
0.687804,0.065076,-0.463347,0.552716,0.183551,-0.358527,-0.307034,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.55995,-0.198177,1
0.687804,-0.283456,-0.796693,0.552716,-0.108944,-0.358527,-0.398506,1.374553,1.300011,0.134919,1.086873,0.239085,1.236658,-0.198177,2
-1.449964,1.147404,-0.035637,0.552716,-0.986428,1.711628,-0.38589,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,0.326602,-0.198177,1
0.687804,1.773566,-0.694125,-1.816067,0.183551,1.711628,2.282584,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.093254,-0.178698,1
0.687804,-0.845549,-0.737204,-1.816067,-0.986428,-0.358527,0.087244,1.374553,1.300011,-0.314812,-0.918321,0.239085,-0.023419,-0.194281,1
0.687804,1.375488,-0.463347,0.552716,-0.108944,0.159012,0.087244,1.374553,1.300011,2.158707,1.086873,0.239085,1.318329,0.290747,2
0.687804,3.212114,0.87004,0.552716,-1.863913,-1.911143,0.560378,-1.508248,1.300011,-0.314812,-0.918321,0.239085,-0.665125,-0.197008,1
0.687804,2.663689,0.459767,0.552716,0.768541,2.229167,-0.701312,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.195839,1
0.687804,-0.596964,-0.719767,0.552716,0.183551,-0.358527,-0.622456,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.431778,-0.198177,1
0.687804,-0.696056,-0.856183,0.552716,0.183551,1.711628,-0.674501,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.023419,-0.198177,1
-1.449964,-1.009564,-0.822335,0.552716,0.183551,-0.358527,-0.450551,1.374553,1.300011,0.58465,1.086873,0.239085,-0.256767,-0.197203,1
0.687804,-0.447471,1.690586,0.552716,0.768541,-1.393604,-0.701312,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.256767,0.01804,1
0.687804,1.425034,4.169659,0.552716,0.476046,-0.358527,-0.149323,1.374553,1.300011,0.134919,-0.918321,0.239085,-0.373441,-0.19545,2
0.687804,-1.237647,-0.924904,0.552716,1.061036,-0.358527,-0.595645,-1.508248,1.300011,0.359785,-0.918321,0.239085,-0.140093,-0.196618,1
-1.449964,-0.169841,-0.617199,-1.816067,-0.986428,-0.358527,-0.307034,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.55995,-0.198177,1
0.687804,1.431868,1.485449,0.552716,-0.108944,-0.358527,4.345446,1.374553,-0.970894,-0.539677,-0.918321,-3.127628,-0.431778,-0.198177,2
0.687804,-0.7251,1.382881,0.552716,-1.278923,-0.358527,0.402666,1.374553,1.300011,1.484111,-0.918321,0.239085,-0.746797,-0.053642,2
0.687804,0.991078,0.049494,0.552716,-1.278923,0.159012,0.008388,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.250933,-0.198177,1
-1.449964,1.581361,1.596223,0.552716,-0.401439,-0.358527,0.021005,1.374553,1.300011,0.134919,1.086873,0.239085,-0.163428,-0.198177,2
0.687804,-0.689222,-0.326931,-1.816067,-0.986428,-0.358527,-0.570412,-1.508248,1.300011,-0.314812,1.086873,0.239085,0.55995,-0.182594,1
-1.449964,-0.539729,1.588017,0.552716,-1.571418,-0.358527,-0.38589,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.023419,0.00869,1
0.687804,-1.237647,-0.958751,-1.816067,0.183551,-0.358527,-0.688695,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.256767,-0.057538,1
0.687804,-0.539729,-0.771051,0.552716,-0.401439,-0.358527,-0.543601,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.093254,-0.198177,1
0.687804,-0.390236,-0.822335,0.552716,0.183551,1.711628,0.639233,1.374553,1.300011,0.134919,1.086873,0.239085,0.746628,-0.168958,2
-1.449964,1.218307,1.177745,0.552716,1.061036,-0.358527,0.8758,1.374553,1.300011,1.034381,1.086873,0.239085,-1.073483,-0.198177,2
0.687804,0.000154,-0.155642,-1.816067,-1.278923,-0.358527,-0.674501,-1.508248,-0.970894,-0.539677,1.086873,0.239085,1.324163,-0.198177,1
0.687804,1.44639,-0.104358,0.552716,-0.108944,-0.358527,-0.661884,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.239097,-0.198177,2
0.687804,0.09412,0.87004,-1.816067,0.476046,1.711628,0.954656,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.175095,-0.198177,2
-1.449964,3.169402,2.100859,0.552716,0.768541,2.229167,-0.701312,1.374553,1.300011,2.608438,-0.918321,0.239085,-1.073483,0.459435,2
-1.449964,-1.088154,0.972608,0.552716,0.476046,-0.358527,-0.188751,1.374553,1.300011,0.809515,1.086873,0.239085,-0.840136,-0.081303,2
0.687804,-0.895949,1.092613,-1.816067,0.768541,1.711628,-0.307034,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.443276,-0.198177,1
0.687804,0.506721,-0.745409,-1.816067,-1.571418,-0.358527,-0.228178,-1.508248,-0.970894,-0.539677,1.086873,0.239085,1.440837,-0.198177,2
-1.449964,-1.173579,1.280313,0.552716,1.93852,1.711628,-0.38589,1.374553,1.300011,1.933842,-0.918321,0.239085,-1.073483,0.386194,2
0.687804,1.410512,0.262836,0.552716,-0.986428,-0.358527,-0.688695,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,0.325809,2
-1.449964,-0.39707,1.793154,0.552716,1.061036,1.711628,0.8758,1.374553,1.300011,-0.089946,-0.918321,0.239085,-1.073483,0.775775,2
-1.449964,-0.917305,-0.87362,-1.816067,0.768541,-1.393604,-0.38589,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.443276,-0.198177,1
0.687804,-0.610632,1.55417,0.552716,1.061036,1.711628,-0.201367,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.373441,-0.198177,2
0.687804,4.158617,0.152063,0.552716,0.183551,-0.358527,-0.530984,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.131948,1
0.687804,2.713235,-0.865414,0.552716,0.183551,-0.358527,-0.51679,1.374553,1.300011,0.134919,1.086873,0.239085,-0.023419,-0.198177,1
0.687804,-0.895949,-0.13,-1.816067,-1.278923,1.711628,-0.688695,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.256767,-0.178698,1
0.687804,2.386059,-0.412063,0.552716,0.476046,-0.358527,-0.149323,1.374553,1.300011,0.58465,1.086873,0.239085,-0.723462,-0.186879,2
0.687804,0.962033,-0.719767,0.552716,-0.108944,-0.358527,3.675174,-1.508248,1.300011,-0.314812,1.086873,0.239085,0.979975,-0.17636,1
0.687804,-0.148485,-0.25821,0.552716,0.183551,-0.358527,-0.649267,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.186594,-0.198177,1
0.687804,0.222257,0.100778,0.552716,0.476046,-0.358527,-0.674501,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.618287,-0.197008,2
0.687804,0.000154,0.049494,-1.816067,-0.401439,-0.358527,1.979778,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.198177,1
0.687804,-0.952329,-0.753615,0.552716,1.061036,-0.358527,-0.228178,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.443445,-0.196813,1
0.687804,0.435818,-0.565915,0.552716,-1.278923,-0.358527,-0.622456,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.215762,-0.198177,1
0.687804,-0.703744,1.408523,-1.816067,0.476046,-0.358527,-0.437934,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.140093,-0.13974,2
0.687804,-0.866905,-0.822335,-1.816067,1.35353,1.19409,-0.464745,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.303436,-0.197787,1
0.687804,-0.817359,0.631056,-1.816067,-1.278923,0.159012,-0.649267,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-0.000085,-0.198177,1
0.687804,0.798872,-0.514631,-1.816067,1.93852,1.711628,2.452912,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.046754,-0.198177,1
0.687804,-0.119441,-0.87362,0.552716,0.183551,-0.358527,-0.149323,1.374553,1.300011,1.933842,-0.918321,0.239085,-0.886805,-0.09299,2
-1.449964,-0.561085,1.280313,-1.816067,-0.401439,-0.358527,0.718089,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.373441,-0.198177,1
-1.449964,-1.123178,0.921324,0.552716,1.061036,-0.358527,-0.319651,1.374553,1.300011,0.359785,-0.918321,0.239085,-0.723462,-0.09299,2
-1.449964,0.307682,-0.206926,0.552716,-1.863913,-1.911143,-0.701312,-1.508248,1.300011,0.809515,-0.918321,0.239085,-1.073483,-0.159219,1
0.687804,1.688141,1.075176,0.552716,-1.278923,0.159012,-0.701312,1.374553,1.300011,1.933842,-0.918321,0.239085,-1.073483,0.045116,2
0.687804,-0.930973,0.108984,0.552716,1.061036,-0.358527,-0.583029,1.374553,1.300011,-0.314812,-0.918321,0.239085,-0.140093,-0.198177,1
-1.449964,-1.05911,0.134626,0.552716,-1.278923,1.711628,-0.609839,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.606788,-0.103898,1
0.687804,-0.503851,-0.522836,-1.816067,-0.401439,-0.358527,0.560378,1.374553,-0.970894,-0.539677,-0.918321,0.239085,0.02325,-0.198177,1
0.687804,2.435606,1.99829,0.552716,-1.863913,-1.911143,4.976291,1.374553,1.300011,2.833304,1.086873,0.239085,-1.073483,-0.003387,2
-1.449964,-1.080466,0.921324,-1.816067,0.183551,-0.358527,-0.38589,1.374553,1.300011,0.359785,1.086873,0.239085,-0.606788,-0.100782,2
0.687804,-1.208603,0.357199,0.552716,-1.278923,-0.358527,-0.661884,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.723462,-0.178698,1
0.687804,1.788088,0.357199,0.552716,-0.986428,-0.358527,1.282695,1.374553,1.300011,2.833304,-0.918321,0.239085,-1.073483,1.983864,2
0.687804,1.638595,-0.856183,0.552716,-1.863913,-1.911143,-0.701312,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.227598,-0.198177,1
0.687804,-0.283456,0.0577,-1.816067,0.183551,0.159012,-0.228178,1.374553,1.300011,1.259246,1.086873,0.239085,-0.233432,-0.196813,2
0.687804,-0.853237,-0.81413,-1.816067,1.646025,-0.358527,-0.491556,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.140093,-0.198177,1
0.687804,0.278637,-0.155642,0.552716,-1.571418,0.159012,3.241468,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.000085,-0.198177,1
-1.449964,2.179332,3.023972,0.552716,0.183551,-0.358527,1.033511,1.374553,1.300011,1.034381,-0.918321,0.239085,-1.073483,0.386194,2
0.687804,0.976555,-0.916698,-1.816067,1.646025,1.711628,-0.149323,1.374553,1.300011,1.259246,-0.918321,0.239085,-0.490114,-0.12513,2
0.687804,0.207735,-0.053074,0.552716,-0.401439,-0.358527,-0.38589,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.326602,-0.198177,1
-1.449964,1.318253,1.690586,0.552716,-1.278923,0.159012,0.927845,1.374553,1.300011,1.484111,1.086873,0.239085,-1.073483,-0.198177,2
0.687804,0.393106,2.74191,0.552716,0.476046,-0.358527,-0.674501,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.793297,0.493718,1
-1.449964,1.354132,0.664904,0.552716,0.768541,0.159012,1.348934,1.374553,1.300011,0.809515,-0.918321,0.239085,1.11415,9.755606,2
0.687804,-0.461139,1.588017,-1.816067,-0.986428,1.711628,-0.307034,-1.508248,-0.970894,-0.539677,1.086873,0.239085,-1.073483,-0.194865,1
0.687804,-0.319334,-0.668483,0.552716,0.476046,-0.358527,-0.070467,1.374553,1.300011,1.933842,1.086873,0.239085,1.458338,-0.191359,2
0.687804,-0.760124,-0.94234,0.552716,0.183551,-0.876066,0.008388,-1.508248,-0.970894,-0.539677,1.086873,-3.127628,-1.073483,-0.198177,2
0.687804,0.855253,-0.617199,0.552716,-0.986428,-0.358527,-0.635073,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.140093,-0.198177,1
0.687804,0.478531,-0.155642,0.552716,0.183551,0.159012,0.8758,1.374553,-0.970894,-0.539677,1.086873,-3.127628,0.55995,-0.198177,1
0.687804,0.214569,-0.959777,-1.816067,-0.108944,0.159012,-0.688695,1.374553,1.300011,-0.314812,1.086873,0.239085,0.55995,0.191404,2
0.687804,0.214569,-0.463347,0.552716,0.183551,-0.358527,-0.38589,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,1.610014,-0.19506,1
0.687804,0.499887,-0.557709,0.552716,0.476046,-0.358527,-0.688695,1.374553,-0.970894,-0.539677,1.086873,0.239085,1.259992,0.931607,2
-1.449964,-0.29029,-0.899262,0.552716,1.061036,-0.358527,-0.51679,1.374553,1.300011,0.359785,-0.918321,0.239085,-0.606788,-0.198177,2
-1.449964,-0.2621,-0.771051,0.552716,1.061036,-0.358527,-0.38589,1.374553,1.300011,-0.089946,1.086873,0.239085,-0.099257,-0.100782,1
-1.449964,2.179332,-0.907467,0.552716,-1.278923,0.159012,-0.38589,1.374553,-0.970894,-0.539677,1.086873,0.239085,0.396606,0.229777,1
-1.449964,-1.088154,0.980814,0.552716,-0.401439,-0.358527,-0.674501,1.374553,-0.970894,-0.539677,-0.918321,0.239085,-0.490114,-0.198177,2
0.687804,-0.34069,-0.309494,-1.816067,1.061036,1.711628,0.902611,-1.508248,1.300011,-0.089946,1.086873,0.239085,1.079148,-0.197982,1
0.687804,-0.930973,-0.891056,0.552716,0.183551,-0.358527,-0.661884,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-1.073483,-0.189606,1
-1.449964,-0.710578,0.228989,0.552716,1.061036,-0.358527,0.298577,1.374553,1.300011,1.708977,-0.918321,0.239085,-0.373441,-0.150453,2
0.687804,-0.7251,1.382881,0.552716,0.476046,1.711628,-0.031039,1.374553,1.300011,1.933842,1.086873,0.239085,0.618287,-0.142856,2
0.687804,0.136833,-0.762846,0.552716,1.35353,1.711628,1.348934,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.116758,5.895837,2
0.687804,0.271803,-0.463347,0.552716,1.646025,0.159012,-0.543601,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,0.956641,-0.198177,1
0.687804,0.442652,-0.950546,-1.816067,0.183551,-0.358527,-0.228178,-1.508248,-0.970894,-0.539677,1.086873,0.239085,0.279933,-0.176165,2
0.687804,-0.319334,-0.771051,-1.816067,-1.571418,1.711628,0.244955,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.046754,-0.093574,1
-1.449964,-0.924139,1.126461,0.552716,1.061036,-0.358527,-0.477362,1.374553,1.300011,-0.089946,1.086873,0.239085,-0.787633,-0.198177,2
0.687804,1.132882,0.459767,-1.816067,0.183551,-0.358527,-0.188751,-1.508248,-0.970894,-0.539677,-0.918321,0.239085,-0.140093,-0.197787,1
0.687804,-1.301716,-0.412063,0.552716,-0.401439,-0.358527,-0.491556,-1.508248,1.300011,-0.314812,-0.918321,0.239085,-0.606788,-0.194086,1
0.687804,0.933843,0.032058,-1.816067,0.476046,-0.358527,0.297,1.374553,-0.970894,-0.539677,1.086873,0.239085,-0.770132,0.082711,2
0.687804,-0.952329,-0.976188,0.552716,0.183551,-0.358527,-0.701312,-1.508248,-0.970894,-0.539677,-0.918321,3.605799,-0.000085,-0.198177,1
